what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287855360
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287855576
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274287860145
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287861670
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287861670
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274287862509
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287862509
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287867868
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287867920
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287871162
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287893505
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1274287896320
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1274287900184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287901023
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287901239
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1274287906739
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287907879
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287908114
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287908179
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287910290
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1274287932692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287933543
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287933769
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1274287942748
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287943638
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287943863
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274287946342
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274287949850
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287949850
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287951627
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274287951669
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1274287951768
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287955851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287958645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274287962687
